,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
APLNR,10.13978464598072,-5.968184377765353e-06,0.0010379206781972064,-3.7277985710153394,0.00019315966047792375,0.04821562294237404
ALDH3A1,73.80274726074748,-2.994138399112735,0.5602787835833749,-4.092305349292991,4.2710572554859016e-05,0.020199912370281663
CCKAR,53.557158690579996,-1.713335487430264e-06,0.0010918926448907935,-3.857043532174508,0.00011476672926835555,0.03491419091960754
P2RY2,34.73751487635119,-4.984154965343064e-06,0.0013494246759785228,-4.610572206319285,4.015621302434535e-06,0.004886509172400025
PCM1,7620.6555330644815,-0.26933693481078663,0.12068322591457586,-3.8969421304696548,9.741488444542738e-05,0.031822461934473106
PDE4D,775.5583814593621,-1.0876342055317196,0.3627646177010756,-4.038212159866862,5.386013002897532e-05,0.021847015243003115
PDGFB,275.31470000429385,-5.555628955622678e-06,0.0011533424322792175,-3.8585351098913865,0.00011406868278219212,0.03491419091960754
WEE1,2644.2465962221677,-0.5414621403493132,0.15157212158352465,-4.849820679172289,1.2357313853185197e-06,0.0024424609509522666
ZKSCAN1,7422.849988409434,-0.44412810443653744,0.14564077726638575,-3.9036122169798166,9.476757959230261e-05,0.031822461934473106
EHMT2,3380.264912147894,-0.22319855277460002,0.1113857652926652,-4.096989793111922,4.185573500735305e-05,0.020199912370281663
CPSF6,4812.724316383876,-3.238918325981406e-05,0.0015423353586678386,-3.8012682798913655,0.0001439573288588495,0.04004070275545429
NUP42,1277.5823253678252,-0.25885965473241934,0.13896960038337147,-3.7203206659864803,0.000198969985811688,0.048424320296919565
TSPAN12,336.6812697840681,-1.4315594690091575,0.48384411192676036,-3.921424888432649,8.802688858709984e-05,0.03173858371834878
FXYD6,180.42341639658315,-2.8183100922495045e-06,0.001087147153688989,-3.7471886766053015,0.00017882757589863903,0.045812801351927654
OTULINL,645.9012143947449,-2.425121314334463,0.4691595097831277,-5.804147211020727,6.469441962130313e-09,6.298001750133859e-05
LRRN3,1375.7581645864261,-1.026712043912687e-05,0.001200867872531747,-4.659456040577749,3.1704609285183203e-06,0.004469509420500383
PDP1,5886.052507437149,-0.8017457904978869,0.3151481792513339,-4.076273874689296,4.576311545509468e-05,0.020199912370281663
KLHL7,2929.079971504796,-0.35769201892168667,0.11779880021207573,-4.656658875198145,3.213822901232941e-06,0.004469509420500383
PCDHA1,30.98343763714243,-1.980018511534705,0.6134312164384513,-4.0800304209828155,4.502980736890708e-05,0.020199912370281663
KCNK12,42.932167196088265,-2.578588301156205e-06,0.0011671485171879836,-4.018919389756859,5.8465667687908086e-05,0.022766530997671407
UBQLN4,2954.946448518546,-4.1308101864668927e-05,0.0014910426861648686,-4.8468338485050255,1.2544740374690635e-06,0.0024424609509522666
SEMA6A,396.0624150604835,-2.017629762063,0.6721877607986961,-3.8953274900821158,9.806613847295257e-05,0.031822461934473106
CADM3,312.09591934362743,-2.515501135762262e-06,0.001222049873623335,-4.093359458742016,4.251678205514156e-05,0.020199912370281663
PAPLN,819.8954929034549,-7.984686500972973e-06,0.001171414588367033,-4.400772178396233,1.078663310783458e-05,0.007000524886984642
TMEM169,141.84196773765132,-1.1808354401123404,0.3337073338907269,-4.4756925025664565,7.616403815024001e-06,0.006154458130088539
COL22A1,1310.7012167703717,-4.042222733420363e-06,0.0010687125116605558,-4.574755481541419,4.767764891328793e-06,0.005157132357453978
UBQLN4P1,166.43789218489547,-0.38812373064153527,0.1063932788740839,-5.245478850720289,1.5587694107330476e-07,0.0007006927752581126
ZNF660,204.08210162376702,-0.8696100792288678,0.25852626171939197,-4.422857149729723,9.740414683797426e-06,0.006773066924769138
LOC105371427,18.799756983219005,-0.5883283278785314,0.19881605980962067,-4.245615628778395,2.1799405397853727e-05,0.013263575721756626
LOC105376748,59.9530036153398,-0.7742057585590226,0.29552804827110996,-3.8225731857331433,0.0001320662631477362,0.03781367858068271
